,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
0,-0.123238,0.379341,-0.286006,-0.098545,0.058594,-0.074574
1,-0.123238,0.379341,-0.286006,-0.098545,0.058594,-0.074574
2,-0.249547,0.541501,0.20842,-0.02397,0.175783,0.114525
3,-0.272929,-0.158302,0.517183,-0.141159,0.042614,0.02397
4,-0.272929,-0.158302,0.517183,-0.141159,0.042614,0.02397
5,-0.247999,-0.482909,-0.138212,0.058594,0.005327,0.111862
6,-0.247999,-0.482909,-0.138212,0.058594,0.005327,0.111862
7,0.057938,0.887642,-0.138501,0.042614,0.069248,0.207743
8,-0.414336,0.412205,-0.018105,0.029297,0.122515,0.290308
9,-0.209641,0.238201,-0.011737,-0.00799,0.013317,0.284981
10,-0.207963,0.608632,0.039953,-0.082565,0.0,0.218397
11,-0.244664,0.615349,0.033657,-0.050604,0.0,0.037287
12,-0.480659,0.35616,0.094923,-0.039951,0.029297,-0.079901
13,-0.541445,0.135967,0.110783,-0.026634,-0.002663,-0.127842
14,-0.170505,-0.229804,0.000472,-0.029297,-0.034624,-0.165129
15,-0.163592,-0.275916,0.032276,0.061258,-0.055931,-0.117188
16,-0.500759,-0.368113,0.15329,0.090555,-0.018644,-0.002663
17,-0.383513,-0.205871,0.105346,0.125179,0.029297,0.074574
18,-0.231258,0.376087,-0.017206,0.077238,0.005327,0.165129
19,-0.317262,0.444019,-0.256239,0.010653,0.010653,0.149149
20,-0.303213,0.545193,0.00599,-0.061258,-0.042614,0.103872
21,-0.247581,0.393904,0.0132,-0.103872,0.00799,0.058594
22,-0.224929,0.470922,0.018393,0.085228,0.018644,-0.061258
23,-0.29169,0.282722,0.016318,0.034624,0.037287,-0.151812
24,-0.368543,0.052801,0.017955,0.0,0.00799,-0.146486
25,-0.493966,-0.145266,0.073788,0.018644,0.026634,-0.157139
26,-0.538343,-0.397718,-0.010993,0.090555,-0.002663,-0.122515
27,-0.197963,-0.582865,-0.026724,0.135832,-0.077238,0.127842
28,-0.425296,-0.308323,-0.029038,0.157139,-0.079901,0.284981
29,-0.112202,0.089188,-0.038791,0.231713,-0.069248,0.362219
30,-0.096756,0.608637,0.081673,0.218397,-0.069248,0.391516
31,0.009953,1.130326,-0.028117,-0.005327,-0.02397,0.189099
