,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
0,-0.359319,0.152819,-0.064578,0.039951,-0.042614,0.125179
1,-0.359319,0.152819,-0.064578,0.039951,-0.042614,0.125179
2,4.011746,1.048811,-1.804903,-1.347667,0.572625,-1.861697
3,3.969688,-1.928682,1.817027,-0.066584,-0.402169,-2.207936
4,3.969688,-1.928682,1.817027,-0.066584,-0.402169,-2.207936
5,-10.496927,-5.79064,1.92102,-0.681823,0.106535,0.436793
6,-12.606166,-4.710909,-0.485446,-1.424904,0.498051,1.890995
7,-12.606166,-4.710909,-0.485446,-1.424904,0.498051,1.890995
8,19.444656,-9.796182,-7.878422,6.173698,-3.156097,10.975759
9,19.444656,-9.796182,-7.878422,6.173698,-3.156097,10.975759
10,23.318779,21.99324,-1.833339,-1.227815,1.853707,-4.093604
11,23.318779,21.99324,-1.833339,-1.227815,1.853707,-4.093604
12,14.282791,-11.378163,-2.927413,-0.03196,5.712934,-10.387153
13,9.474254,-17.809843,0.738084,1.906975,-0.250357,-7.228393
14,-10.076178,-19.48147,0.503626,-1.747172,-0.588605,-1.219825
15,-17.87264,-8.41152,0.033751,-1.704558,-0.740418,2.117381
16,-5.046351,-15.219399,-5.32645,0.609912,-2.343768,4.871308
17,15.415035,-10.84576,-10.941614,2.607442,-3.164087,9.130041
18,17.733408,6.204001,-4.95661,1.55541,-1.520786,7.571968
19,19.888285,23.366014,-4.434639,-0.42614,-0.620566,-0.612576
20,19.570381,8.556479,-6.383581,-2.596788,5.430617,-6.836877
21,10.85738,-15.276516,-4.495722,-2.269193,5.558458,-11.468482
22,-5.539072,-22.510809,-3.826696,1.406261,-0.556645,-4.282703
23,-19.510307,-15.694491,-1.867233,-1.022735,-0.585942,0.775041
24,-4.913211,-15.034637,-4.98552,2.090747,-2.210599,5.041764
25,13.328848,-12.100168,-8.999714,1.880341,-1.518122,9.446982
26,21.438515,-0.738474,-3.23683,2.00552,-1.360983,9.156674
27,14.135201,16.274986,-0.955159,-1.198518,-1.656618,2.652719
28,20.28194,11.06425,-2.136101,-3.675454,2.175975,-6.091133
29,13.159569,-12.204945,-0.86903,0.223723,4.602308,-9.119388
30,3.868423,-20.333908,-3.657569,1.448875,0.724437,-5.992588
31,-12.586323,-18.84192,-2.558991,-1.707222,-0.181109,-0.367545
32,-12.586323,-18.84192,-2.558991,-1.707222,-0.181109,-0.367545
33,-10.908914,-11.85592,-3.004973,0.308951,-1.728529,3.907167
34,19.197193,-9.811005,-4.245163,2.373065,-2.058787,11.026362
35,11.221997,12.738684,-2.623241,-1.267765,-1.15324,1.707222
36,11.221997,12.738684,-2.623241,-1.267765,-1.15324,1.707222
37,17.799633,-0.551281,0.629945,-4.482456,6.57853,-6.240282
38,17.799633,-0.551281,0.629945,-4.482456,6.57853,-6.240282
39,-9.952966,-19.459782,-3.28334,-1.544756,0.218397,-1.299726
40,-9.952966,-19.459782,-3.28334,-1.544756,0.218397,-1.299726
41,-17.579504,-9.353596,-2.568973,-0.753734,-1.195854,2.514224
42,-1.107959,-12.51675,-3.468483,2.04547,-2.319798,5.100359
43,16.124891,-10.506364,-7.360958,3.462384,-2.612768,8.922298
44,16.100002,8.464942,-1.619433,-0.135832,-2.690006,6.908788
45,16.910976,22.076565,2.968808,-0.178446,0.791022,-2.663373
46,16.355623,3.647514,-0.712365,-1.281082,4.865982,-6.722353
47,10.845742,-15.211833,-4.637173,-0.181109,4.08295,-9.49226
48,-3.509642,-20.44046,0.404222,0.9162,-0.934844,-2.948354
49,-16.9879,-12.737613,-0.276233,-1.275755,-0.498051,1.952252
50,-6.66346,-11.176514,-2.458954,2.04547,-1.691242,4.027019
51,13.667419,-11.803898,-6.784674,1.80044,-0.676497,7.835642
52,18.569824,9.81746,-4.826201,2.173312,-1.680588,7.518701
53,11.039117,20.114742,-0.838958,-1.206508,-0.143822,1.448875
54,15.532736,9.769712,-1.57814,-1.973559,3.835257,-5.667657
55,11.405392,-14.392696,-8.098125,-4.053653,4.639595,-9.731963
56,-0.1914,-19.968815,-1.015572,2.935037,-0.284981,-5.052418
57,-16.92796,-14.302365,-1.272183,-0.42614,-0.250357,0.639209
58,-7.362597,-9.976284,-2.291737,2.207936,-2.056124,4.176168
59,14.848639,-11.153595,-9.963374,2.602115,-1.171884,7.108542
60,20.91041,3.873378,-4.067205,1.621994,-3.052225,8.634654
61,15.508658,19.341654,-1.157428,0.276991,-1.329023,0.021307
62,19.608606,9.587258,-1.644553,-4.551704,2.45563,-4.575674
63,19.608606,9.587258,-1.644553,-4.551704,2.45563,-4.575674
64,-0.610058,-18.26515,-3.642176,0.202416,0.098545,-4.980507
65,-0.610058,-18.26515,-3.642176,0.202416,0.098545,-4.980507
