,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
0,-0.373788,0.248056,0.164594,-0.143822,-0.183773,-0.01598
1,-0.373788,0.248056,0.164594,-0.143822,-0.183773,-0.01598
2,0.07614,-1.703104,0.803796,0.026634,-0.620566,-3.941791
3,5.334237,-1.646148,0.294877,-3.172077,-0.649863,-4.258733
4,4.234907,-5.382083,-0.529088,-1.371637,0.511368,-3.909831
5,0.33756,-5.840795,0.978936,1.390281,0.942834,-1.981549
6,0.965644,-6.638238,-2.119002,0.130505,0.780368,0.141159
7,1.168092,-3.002557,-2.186696,-0.223723,0.516694,2.048133
8,2.795522,0.041005,-0.840686,-0.745744,-0.20508,2.631412
9,2.040389,5.543692,2.312237,0.793685,-0.511368,2.00552
10,-0.24043,9.205453,2.31668,1.193191,0.553982,0.181109
11,-0.24043,9.205453,2.31668,1.193191,0.553982,0.181109
12,-0.880393,5.120742,0.965937,-0.207743,0.210406,-0.799012
13,0.521305,1.0204,0.703843,0.415486,-0.071911,-2.01351
14,0.827351,-2.768207,0.703046,0.063921,-0.053267,-2.338441
15,1.255446,-4.673439,0.273437,-0.258347,0.005327,-1.558073
16,-1.012097,-5.16013,0.267206,0.290308,-0.021307,0.255684
17,1.034259,-1.969032,-1.288191,1.038715,-0.101208,1.616667
18,1.651554,1.177229,-1.351113,0.567298,0.087891,2.202609
19,1.801836,2.83191,-1.157419,0.487397,-0.4581,2.351758
20,1.080213,4.745864,-0.98542,0.676497,-0.010653,1.55541
21,1.301868,5.83703,-0.485551,-0.061258,0.135832,0.367545
22,2.30832,3.866675,-0.187263,-0.037287,0.234377,-1.1053
23,0.49797,1.323753,0.451327,-0.452773,-0.026634,-1.749836
24,0.819574,-0.520298,0.560865,-0.498051,0.335585,-1.973559
25,-0.282319,-3.087634,0.085329,-0.764388,0.138495,-1.659281
26,-0.107125,-4.146272,0.565361,-0.02397,0.093218,-1.233142
27,-0.823897,-4.723063,-0.1745,-0.346238,0.045277,-0.292971
28,1.602017,-3.482819,-0.538856,0.194426,-0.234377,0.47408
29,0.982002,-2.037334,-0.934588,0.543328,-0.276991,1.483499
30,2.129975,0.853864,-0.869142,1.179874,-0.394179,2.263867
31,0.71679,3.024721,-1.115632,0.506041,0.0,1.912302
32,0.625615,3.716211,-1.355447,-0.079901,-0.146486,1.291736
33,-0.093568,4.256899,-0.695007,0.026634,-0.050604,0.556645
34,1.151633,3.8578,0.079628,-0.21307,-0.01598,-0.705794
35,3.059675,2.209546,0.123739,-0.439456,0.314278,-1.763153
36,0.954355,0.056034,0.123229,-0.649863,0.378199,-1.853707
37,1.005511,-1.103187,0.118266,-0.340912,0.21307,-1.568726
38,-0.198678,-3.107642,0.188367,-0.556645,0.175783,-1.307716
39,-0.578289,-4.137569,0.475976,-0.151812,0.125179,-0.761725
40,-0.811538,-4.2181,0.232926,0.053267,0.077238,-0.106535
41,-0.494432,-4.059911,0.435308,0.308951,-0.130505,0.543328
42,1.549707,-2.36166,-0.882373,0.21307,-0.471417,1.57938
43,3.289346,0.423663,-0.818307,0.567298,-0.69514,2.128035
44,2.583924,3.267795,-0.64737,0.817655,-0.492724,2.162659
45,1.032332,4.53089,-0.418998,-0.117188,-0.391516,1.523449
46,0.231141,5.130277,-0.435569,-0.039951,0.146486,0.282318
47,0.676909,3.998277,-0.500238,-0.495387,0.167792,-0.6472
48,0.676909,3.998277,-0.500238,-0.495387,0.167792,-0.6472
49,0.926919,2.745904,-0.003447,-0.186436,0.399506,-1.345003
50,1.286416,-3.172386,0.057844,-0.569962,0.404833,-1.992203
51,-0.471788,-4.597477,0.120566,-0.556645,0.362219,-1.1053
52,-0.471788,-4.597477,0.120566,-0.556645,0.362219,-1.1053
53,-0.944809,-3.4958,-0.570893,0.01598,-0.087891,0.620566
54,-0.944809,-3.4958,-0.570893,0.01598,-0.087891,0.620566
55,1.363481,-3.241195,-2.00538,0.074574,-0.367545,0.88424
56,1.472261,-1.652689,-2.17842,0.476744,-0.873586,1.616667
57,3.233235,1.651888,0.084803,1.177211,-1.190528,2.162659
58,1.907378,4.644552,0.390892,0.324931,-0.439456,1.845717
59,0.543434,5.533295,0.302908,-0.276991,0.03196,0.974794
60,0.164178,4.997635,0.430547,-0.231713,0.093218,-0.210406
61,1.206988,2.651466,0.227442,0.207743,0.713784,-1.584707
62,1.470006,0.288892,0.005164,-0.074574,0.769715,-2.074767
63,1.034179,-2.347268,-0.173803,-1.004091,0.628556,-1.859034
64,0.445496,-4.922658,-0.289554,-0.665843,0.684487,-1.363647
65,-0.826797,-5.217483,-1.484601,-0.812329,0.300961,-0.338248
66,-0.712798,-3.337421,-0.831008,-0.055931,-0.612576,0.591269
67,-0.238891,-2.399163,-1.08392,0.013317,-0.956151,0.9162
68,1.63788,-0.739322,0.38173,0.593932,-1.001428,1.139924
69,1.500661,0.843519,0.089176,1.273092,-0.410159,0.902883
70,2.240402,2.686564,0.403872,1.046705,-0.713784,1.257112
71,0.548497,4.459799,-0.055594,0.282318,-0.029297,0.982784
72,1.079321,4.911122,-0.267513,0.090555,0.178446,0.135832
73,0.409419,4.234538,-0.27042,-0.103872,0.186436,-0.767051
74,1.087142,2.147165,-0.561592,0.127842,0.279654,-1.462192
75,1.087142,2.147165,-0.561592,0.127842,0.279654,-1.462192
76,0.270111,-1.599955,-0.261672,-0.713784,0.103872,-1.14525
77,0.65364,-1.769952,0.494604,-0.202416,0.23704,-1.033389
78,-0.535811,-3.711555,-0.563268,-0.969468,0.495387,-0.484734
79,-0.535811,-3.711555,-0.563268,-0.969468,0.495387,-0.484734
80,-0.604435,-3.546237,-1.150931,-0.532675,-0.279654,0.807002
81,-0.604435,-3.546237,-1.150931,-0.532675,-0.279654,0.807002
82,0.179607,-1.878678,-0.82559,0.111862,-0.580615,1.222488
83,1.256893,-0.847837,-0.262705,0.46609,-0.873586,1.352993
84,2.220163,0.142509,0.224053,0.631219,-0.948161,1.249122
85,0.904089,2.140293,0.410454,0.572625,-0.809665,1.078666
86,1.432476,3.884337,0.891511,0.43413,-0.487397,0.596595
87,0.436566,4.051002,0.795101,0.306288,0.03196,-0.26101
88,0.50721,3.67857,0.523163,0.41815,0.295634,-0.945497
89,0.714397,1.461995,-0.431148,0.362219,0.428803,-1.531439
90,1.305481,-0.286303,-0.611242,0.215733,0.183773,-1.648628
91,1.238483,-1.741771,-0.728686,-0.495387,-0.00799,-1.294399
92,0.478377,-2.958085,-1.052811,-0.753734,-0.095881,-0.604586
93,-0.250844,-2.37344,0.419808,-0.559308,0.223723,-0.250357
94,-0.127946,-2.70633,0.040077,0.146486,0.157139,0.018644
95,0.533963,-2.800479,-0.4311,0.308951,0.255684,0.532675
96,1.976769,-1.3266,-0.797436,0.037287,0.103872,1.225151
97,1.537546,0.989398,-0.435478,-0.234377,-0.569962,1.731192
98,0.83496,3.292181,0.423278,-0.101208,-0.543328,1.470182
99,0.312292,4.335424,0.790915,-0.053267,-0.327595,0.745744
