,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
0,0.052231,-0.730486,-0.518104,-0.159802,-0.045277,-0.029297
1,0.052231,-0.730486,-0.518104,-0.159802,-0.045277,-0.029297
2,-0.548047,0.707006,-1.17943,-0.239704,0.02397,0.298298
3,-0.012414,0.191957,-0.792904,-0.101208,0.20508,0.119852
4,1.011521,-0.936402,-0.974097,-0.013317,0.191763,0.101208
5,-0.484169,-1.22424,0.295685,0.396843,-0.338248,0.516694
6,-1.27686,-3.12289,-0.202464,1.299726,-0.761725,0.700467
7,1.011774,-1.979156,-1.898568,2.868452,-1.193191,1.094646
8,1.829868,-2.56745,-1.179886,4.53306,-1.914965,2.543521
9,2.120556,-4.064626,-0.084766,4.442505,-2.0215,3.217354
10,2.120556,-4.064626,-0.084766,4.442505,-2.0215,3.217354
11,-0.135867,1.352137,-5.945134,3.590226,-0.820319,2.346431
12,-0.135867,1.352137,-5.945134,3.590226,-0.820319,2.346431
13,17.191116,9.78925,7.910649,2.322461,-6.266916,-15.764503
14,2.801915,-9.065123,-2.759228,2.010846,1.302389,2.271857
15,0.790672,-5.63151,-1.705687,-1.693905,-0.921527,1.739182
16,0.790672,-5.63151,-1.705687,-1.693905,-0.921527,1.739182
17,1.720672,0.476348,2.208364,-1.217161,0.0,1.643301
18,-0.748353,0.529138,-2.650019,-4.016366,1.789786,0.535338
19,-0.184469,1.008486,-1.038112,-2.210599,2.444976,-0.48207
20,-0.01151,0.71012,-2.712547,-3.068205,2.91373,-1.068012
21,-0.371224,-4.425037,-1.189282,-3.435751,3.936465,-1.219825
22,-0.480371,2.079816,-2.678535,-2.383719,4.519743,1.648628
23,1.590517,5.605416,-1.299521,-2.271857,3.560929,3.720732
24,1.591592,11.273728,1.795369,-4.189485,2.74061,4.612961
25,7.661543,13.710423,-5.654656,-5.321418,1.608677,5.590419
26,16.402634,7.916841,-14.174992,-2.713977,4.506426,-8.030068
27,22.81614,-22.13492,-4.395906,8.456208,-5.217547,-8.738525
28,14.548894,10.887106,8.099365,5.126992,-2.101401,0.085228
29,-0.726083,4.530348,1.520363,-0.913537,3.611533,-1.875014
30,-3.606665,-2.083423,-3.931994,-2.642066,3.968425,-1.190528
31,-2.470355,-0.688251,-1.281345,1.539429,-0.681823,-1.566063
32,-1.866242,-0.40916,1.305909,-0.415486,0.029297,-1.360983
33,-2.972295,-3.817659,-1.680837,2.402362,-0.945497,-1.968232
34,-4.450536,0.48258,1.217401,1.299726,-1.134597,-0.569962
35,-4.410252,1.743499,2.233346,1.214498,-0.279654,0.066584
36,-3.438087,5.891292,0.682284,0.346238,0.89223,0.527348
37,-2.447785,-3.4225,-1.569243,-4.184158,1.704558,-1.504805
38,-4.202509,-13.77801,-11.937906,-0.982784,-0.319605,0.21307
39,9.974581,-2.435783,-10.974827,10.293935,-4.658238,6.986026
40,15.046455,5.587421,-10.628109,8.818426,-1.954915,7.747751
41,8.248698,12.619705,-10.302189,3.989732,2.279847,3.523642
42,28.609226,-17.311832,-18.695854,-9.124714,3.672791,-10.520322
43,6.669135,4.492133,2.102856,6.882155,-3.773999,3.222681
44,-1.816772,4.87136,3.269658,0.079901,-2.466283,1.536766
45,-1.816772,4.87136,3.269658,0.079901,-2.466283,1.536766
46,-1.011058,0.744453,1.980219,-0.415486,-1.946925,0.849616
47,-1.011058,0.744453,1.980219,-0.415486,-1.946925,0.849616
48,-0.221207,1.704137,-3.123072,-2.24256,-1.036052,-0.178446
49,4.737394,-5.636684,-6.03672,-3.80596,-0.258347,-1.318369
50,3.244058,8.662836,-5.555702,-7.926197,0.380862,-2.887096
51,2.202449,-3.017465,-2.15056,-7.21774,5.00714,-3.102829
52,1.398032,1.238142,-3.261995,-2.333114,5.374686,-3.630177
53,3.933248,-8.130435,-4.270055,2.016173,1.001428,-2.879106
54,-4.302154,-8.358312,-2.801171,-2.231906,-1.169221,0.247694
55,2.228922,0.338059,1.549316,-3.723395,-1.845717,1.57938
56,9.010148,2.936653,-0.01253,-3.686108,1.187864,-1.861697
57,-1.630447,-0.622735,7.782911,-8.205851,-3.315899,4.873972
58,-10.213043,17.071737,-1.133023,-1.669935,-0.22905,1.864361
59,15.192524,5.691902,-11.973101,0.018644,-1.470182,-5.047091
60,22.591616,-10.358342,1.504297,1.752499,-10.445747,-5.561122
61,14.927385,-3.292444,6.672788,0.737754,0.604586,-0.862933
62,7.890259,0.972426,2.725758,1.190528,1.225151,-0.037287
63,6.502622,-0.395248,-0.088368,0.050604,3.547612,0.43413
64,4.545393,0.782819,-2.973708,0.013317,3.228008,-0.101208
65,1.948973,-0.217259,-2.252893,0.868259,1.387617,-0.878913
66,0.234295,-1.447788,-2.51712,3.145443,1.829737,-1.79245
67,-0.279396,0.039903,-3.317362,0.652526,0.591269,-0.812329
68,-1.711413,0.960159,-1.897336,1.083993,0.41815,-0.042614
